Structures "F": Vertical walls
;Rc/Hs|q/(gHs^3)^(1/2)
0.843881856|1.97E-03
0.701754386|5.17E-03
0.760456274|4.31E-03
1.096491228|4.18E-04
0.896057348|2.15E-03
0.988142292|1.30E-03
1.136363636|4.10E-05
0.877192982|5.01E-04
0.727272727|2.35E-03
0.793650793|1.18E-03
1.037344398|1.96E-04
0.87108014|1.08E-03
0.932835821|6.93E-04
1.153846153|7.97E-04
0.828729282|3.79E-03
0.627615063|9.34E-03
1.19047619|1.10E-03
0.892857143|3.30E-03
0.714285714|6.81E-03
0.806451613|5.60E-03
1.229508197|4.74E-05
0.877192982|1.52E-03
0.657894737|4.86E-03
0.553505535|1.02E-02
0.6|7.46E-03
1.081081081|4.19E-04
0.819672131|2.66E-03
0.704225352|4.34E-03
0.735294118|3.96E-03
1.116071429|4.66E-04
0.909090909|1.88E-03
1.004016064|1.22E-03
1.169590643|1.29E-04
0.904977376|7.57E-04
0.746268656|2.74E-03
0.816326531|1.42E-03
0.874125874|1.11E-03
0.939849624|6.54E-04
1.19047619|2.26E-04
0.847457627|2.74E-03
0.63559322|7.73E-03
0.531914894|1.21E-02
0.574712644|1.05E-02
1.204819276|7.02E-04
0.884955752|2.95E-03
0.743494424|6.10E-03
0.8|5.44E-03
1.25|4.85E-05
0.872093023|1.53E-03
0.675675676|3.57E-03
0.561797753|7.06E-03
0.614754098|5.01E-03
1.117318436|2.80E-04
0.840336134|1.69E-03
0.696864111|4.01E-03
0.746268656|2.75E-03
1.126126126|4.05E-04
0.92936803|1.29E-03
1.016260163|9.76E-04
0.904977376|6.49E-04
0.809716599|9.32E-04
0.724637681|1.71E-03
1.050420168|1.74E-04
0.868055556|7.86E-04
1.555555556|3.43E-06
0.875|3.04E-04
1.555555556|1.71E-06
1.166666667|2.33E-05
0.875|3.04E-04
0.7|2.32E-03
0.875|8.93E-04
0.7|3.16E-03
0.875|1.65E-03
1.6|3.19E-06
1.846153846|9.88E-07
1.5|8.33E-06
1.263157895|1.57E-04
1.5|2.76E-05
1.333333333|3.29E-04
1.5|1.40E-04
4.907894737|0.00E+00
2.838235294|0.00E+00
1.450704225|4.00E-04
2.838235294|0.00E+00
4.907894737|0.00E+00
1.450704225|2.93E-04
4.042857143|0.00E+00
1.664705882|1.47E-03
1.963157895|3.75E-04
0.686666667|1.12E-02
1.286666667|2.77E-03
0.686666667|1.05E-02
1.963157895|6.60E-04
1.286666667|2.03E-03
4.907894737|0.00E+00
1.2875|1.04E-03
4.907894737|0.00E+00
2.325301205|0.00E+00
1.2875|6.61E-04
2.325301205|0.00E+00
1.286666667|1.20E-03
2.33125|1.66E-04
0.686666667|8.74E-03
0.686666667|9.29E-03
2.33125|3.68E-05
1.286666667|7.05E-04
0.447826087|2.20E-02
2.315|8.86E-04
2.89375|2.13E-04
3.451219512|0.00E+00
1.886666667|3.39E-04
1.415|2.24E-03
2.572222222|6.21E-04
1.015789474|5.60E-03
0.515|1.74E-02
1.865|1.09E-03
1.865|5.46E-04
0.515|1.52E-02
1.865|5.15E-04
1.015789474|4.01E-03
0.742307692|6.87E-03
0.75390625|9.28E-03
0.839130435|4.95E-03
0.839130435|5.06E-03
2.021428571|3.19E-04
0.742307692|4.49E-03
2.572222222|6.95E-04
2.723529412|2.53E-04
1.572222222|9.35E-04
0.447826087|2.07E-02
3.086666667|8.31E-05
1.286666667|9.91E-04
0.686666667|9.53E-03
2.664285714|4.95E-05
1.286666667|1.60E-03
2.664285714|1.13E-04
0.686666667|9.28E-03
2.072222222|2.83E-04
2.072222222|2.08E-04
0.542105263|1.32E-02
1.072222222|3.16E-03
0.542105263|1.48E-02
1.072222222|3.49E-03
1.419354839|4.39E-03
1.419354839|2.06E-03
1.496598639|1.10E-03
1.582733813|7.15E-04
1.764705882|1.93E-03
1.914893617|7.78E-04
1.942446043|1.39E-03
2.030075188|5.33E-04
2.268907563|1.56E-04
2.222222222|1.04E-03
2.272727273|7.39E-04
2.362204724|4.16E-04
2.459016393|2.55E-04
1.764705882|2.85E-03
1.849315068|1.21E-03
2.125984252|2.12E-04
2.246376812|7.41E-04
2.384615385|4.43E-04
0.928571429|3.16E-03
1.031746032|2.03E-03
1.419753086|1.47E-03
1.586206897|7.46E-04
3.03030303|3.79E-04
3.2|2.17E-04
1.675126904|7.89E-04
2.088607595|7.12E-05
2.088607595|1.58E-04
2.024539877|2.47E-04
1.813186813|6.17E-04
1.754385965|3.39E-04
2.054794521|1.89E-04
1.373626374|1.19E-03
1.366120219|9.46E-04
2.251655629|9.09E-04
2.446043165|3.57E-04
1.629392971|3.52E-05
1.420612813|2.11E-05
1.374663073|1.34E-06
1.301020408|2.39E-05
1.370967742|1.43E-04
1.367292225|3.77E-05
1.262376238|7.88E-06
1.113537118|1.19E-04
1.639784946|4.66E-05
1.63538874|7.53E-06
1.495098039|0.00E+00
1.303418803|3.64E-05
1.517857143|6.91E-05
1.294416244|8.07E-05
1.214285714|3.78E-05
1.115973742|1.31E-04
1.694352159|3.00E-05
1.382113821|3.42E-05
1.324675325|1.18E-05
1.275|5.28E-05
1.773255814|1.05E-05
1.653116531|2.70E-06
1.502463054|1.17E-06
1.32034632|4.23E-05
1.629392971|1.73E-05
1.457142857|1.66E-05
1.370967742|4.90E-06
1.287878788|3.88E-05
1.420612813|7.60E-05
1.338582677|3.31E-05
1.262376238|1.42E-05
1.106290672|1.62E-04
1.680440771|1.25E-05
1.311827957|4.13E-05
1.096774194|1.27E-04
1.531531532|6.20E-05
2.090163934|2.51E-05
2.056451613|4.09E-04
1.794117647|1.02E-05
2.401574803|1.12E-04
1.094420601|1.67E-04
1.452991453|8.64E-05
1.9921875|3.58E-05
2.04|4.88E-04
1.768115942|1.55E-05
2.346153846|1.27E-04
1.143497758|1.78E-04
1.540785498|9.82E-05
2|3.92E-05
2.023809524|5.40E-04
1.289640592|4.00E-05
1.794117647|1.73E-05
2.469635628|2.46E-06
2.420634921|1.33E-04
1.352549889|5.37E-05
1.732954545|2.71E-05
2.479674797|1.51E-04
1.108695652|2.39E-04
1.448863636|1.36E-04
1.924528302|7.55E-05
2.073170732|5.44E-04
1.240875912|1.74E-04
1.59375|1.41E-04
2.161016949|1.32E-04
2.198275862|9.13E-04
1.462829736|3.26E-05
1.888544892|1.38E-05
2.573839662|1.49E-05
2.629310345|2.04E-04
1.672131148|1.12E-04
1.624203822|1.28E-04
2.336084722|7.91E-04
